mode,const,storage_pre,release_pre,inflow,sto_diff,release_roll7,inflow_roll7,storage_x_inflow,inflow2,release_pre2
1,0.000,0.033,0.454,0.352,0.102,0.287,-0.204,0.038,0.237,-0.150
2,0.000,0.081,0.445,0.291,0.081,0.175,-0.105,0.154,0.141,-0.091
3,-0.008,0.018,0.835,0.084,0.090,0.020,-0.033,-0.040,0.006,0.125
4,-0.080,0.023,0.975,0.202,0.189,0.068,-0.121,0.101,-0.071,-0.147
5,0.157,0.113,0.725,0.278,0.179,0.065,-0.119,-0.017,0.002,-0.029
6,0.000,0.007,0.999,-0.002,0.063,0.004,-0.029,0.051,0.040,-0.091
7,0.000,0.040,0.226,0.203,0.050,0.086,-0.048,0.521,-0.007,0.015
8,0.000,0.080,0.526,0.456,0.156,0.132,-0.080,-0.069,-0.053,0.056
9,-0.041,0.025,0.734,0.041,0.155,0.131,-0.001,-0.019,-0.024,0.057
10,-0.018,0.027,0.499,0.013,0.712,0.311,-0.042,0.013,-0.001,0.150
11,-0.199,0.035,0.380,0.067,0.823,0.370,-0.036,-0.085,-0.011,-0.050
12,-0.034,0.049,0.113,-0.018,0.082,0.402,-0.013,0.009,0.004,0.394
13,-0.062,0.022,0.491,0.020,0.460,0.258,-0.107,0.024,0.033,0.109
14,-0.013,0.014,0.824,0.004,0.356,0.084,0.018,0.031,-0.006,-0.011
15,-0.035,0.045,0.654,0.120,0.485,0.195,0.034,-0.136,-0.040,0.041
16,-0.137,0.098,1.080,0.007,0.433,0.035,-0.003,0.015,0.022,-0.199
17,-0.002,0.094,0.953,0.087,0.154,0.003,-0.025,-0.033,0.005,-0.057
